row,order_number,serial_number,serial_id,previous_product_id,new_product_id
385,4156,95409001-1224819328,768,41,41
387,4156,95409001-1224819330,769,41,41
388,4156,95409001-1224819322,770,41,41
389,4156,95409001-1224819326,771,41,41
390,4156,95409001-1224819318,772,41,41
391,4156,95409001-1224819319,773,41,41
392,4156,95409001-1224819324,774,41,41
447,4171,95409001-1224828124,824,41,41
448,4171,95409001-1224827995,825,41,41
450,4171,95409001-1224819883,826,41,41
452,4171,95409001-1224827980,827,41,41
454,4171,95409001-1224828125,828,41,41
456,4171,95409001-1224828128,829,41,41
499,4176,95409001-0724685215,860,41,41
500,4176,95409001-0724685201,861,41,41
501,4176,95409001-0724684347,862,41,41
502,4176,95409001-0724686139,863,41,41
503,4176,95409001-0724686133,864,41,41
504,4176,95409001-0724684352,865,41,41
505,4176,95409001-0724684326,866,41,41
506,4176,95409001-0724686140,867,41,41
536,4188,95409001-0724685203,891,41,41
537,4188,95409001-1224828119,892,41,41
538,4188,95409001-1224828114,893,41,41
539,4188,95409001-0724685202,894,41,41
540,4188,95409001-1224828120,895,41,41
541,4188,95409001-0724685204,896,41,41
661,4216,95409001-0724686141,1002,41,41
662,4216,95409001-0724686132,1003,41,41
663,4216,95409001-0724686127,1004,41,41
664,4216,95409001-0724686136,1005,41,41
665,4216,95409001-0724686135,1006,41,41
666,4216,95409001-0724686146,1007,41,41
754,4227,95409001-0724686148,1072,41,41
755,4227,95409001-0724686152,1073,41,41
756,4227,95409001-0724686158,1074,41,41
757,4227,95409001-0724686147,1075,41,41
758,4227,95409001-0724686151,1076,41,41
759,4227,95409001-0724686149,1077,41,41
768,4257,95409001-0724686138,1086,41,41
769,4257,95409001-0724686150,1087,41,41
770,4257,95409001-0724686123,1088,41,41
771,4257,95409001-0724686134,1089,41,41
772,4257,95409001-0724686131,1090,41,41
773,4257,95409001-0724686143,1091,41,41
774,4257,95409001-0724686137,1092,41,41
775,4257,95409001-0724686155,1093,41,41
811,4262,95409001-1224819331,1117,41,41
813,4262,95409001-0724686144,1118,41,41
814,4262,95409001-0724686145,1119,41,41
815,4262,95409001-1224819320,1120,41,41
817,4262,95409001-1224819316,1121,41,41
819,4262,95409001-1224819327,1122,41,41